area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
3,District,MWI_3_04,Rumphi,both,plhiv,PLHIV,9537.40860323637,756.032862082218,9519.89803722389,9487.14601774425,8143.63423912294,11066.1043841134
3,District,MWI_3_04,Rumphi,female,plhiv,PLHIV,5489.51310360903,440.238332828741,5477.74623474626,5462.64553461036,4683.61145749083,6387.61713858948
3,District,MWI_3_04,Rumphi,male,plhiv,PLHIV,4047.89549962734,321.21628286611,4043.14370657085,4024.29163650834,3447.81292451733,4690.066317222
3,District,MWI_3_04,Rumphi,both,unaware_plhiv_num,Number PLHIV unaware,628.126297623365,141.846081541847,614.937884746794,598.606905718496,392.333367569129,963.400543113657
3,District,MWI_3_04,Rumphi,female,unaware_plhiv_num,Number PLHIV unaware,156.350012618547,35.6138217266748,153.570994729486,148.837180290353,96.4940997513501,238.467874817309
3,District,MWI_3_04,Rumphi,male,unaware_plhiv_num,Number PLHIV unaware,471.776285004818,109.168468295026,464.163876783622,450.347451013491,291.634466541783,728.392574249227
3,District,MWI_3_04,Rumphi,both,aware_plhiv_num,Number PLHIV aware,8909.28230561301,696.148502210075,8905.44724506804,8898.83762374919,7605.92473171829,10353.5486828717
3,District,MWI_3_04,Rumphi,female,aware_plhiv_num,Number PLHIV aware,5333.16309099048,425.61609819293,5324.39677333336,5329.65212793782,4553.62975683257,6221.18753041996
3,District,MWI_3_04,Rumphi,male,aware_plhiv_num,Number PLHIV aware,3576.11921462253,274.856490343233,3573.60778087207,3569.18123976817,3056.90354352793,4158.50037568302
3,District,MWI_3_05,Mzimba,both,plhiv,PLHIV,51174.9346621557,1494.93125009271,51124.8137092565,50837.5295861028,48418.5205671776,54346.5342997567
3,District,MWI_3_05,Mzimba,female,plhiv,PLHIV,30439.2784310568,866.090764556472,30431.5968812554,30258.5455358211,28838.1980856352,32260.172598189
3,District,MWI_3_05,Mzimba,male,plhiv,PLHIV,20735.6562310989,657.13281880681,20732.2753274725,20577.0107375649,19483.7728120264,22109.3507695139
3,District,MWI_3_05,Mzimba,both,unaware_plhiv_num,Number PLHIV unaware,3455.98530770298,525.469870733285,3423.89022379257,3338.5011070746,2560.64144162593,4649.32680448829
3,District,MWI_3_05,Mzimba,female,unaware_plhiv_num,Number PLHIV unaware,919.36136964127,140.889561954096,909.87044680995,888.226166009815,669.476920150754,1228.88567469815
3,District,MWI_3_05,Mzimba,male,unaware_plhiv_num,Number PLHIV unaware,2536.62393806171,397.720014011651,2505.10689223988,2449.88148620048,1854.19502769965,3376.31694995238
3,District,MWI_3_05,Mzimba,both,aware_plhiv_num,Number PLHIV aware,47718.9493544527,1214.92115267416,47696.5585127164,47538.7583442419,45532.3689482278,50199.681134394
3,District,MWI_3_05,Mzimba,female,aware_plhiv_num,Number PLHIV aware,29519.9170614155,752.299410554341,29502.1356147681,29428.465663797,28149.3657830101,31054.9237759961
3,District,MWI_3_05,Mzimba,male,aware_plhiv_num,Number PLHIV aware,18199.0322930372,480.631845158888,18191.2901604712,18110.349363624,17346.9244539734,19169.5932569458
3,District,MWI_3_06,Likoma,both,plhiv,PLHIV,973.116073580678,30.3295246374273,972.441148074487,968.762634143927,914.535502045018,1032.1232008386
3,District,MWI_3_06,Likoma,female,plhiv,PLHIV,574.154686243597,18.6311459378436,573.368408747234,571.586857548794,539.117561185034,609.651722521397
3,District,MWI_3_06,Likoma,male,plhiv,PLHIV,398.96138733708,16.2052856766901,398.693425798015,397.175702106624,367.378754466262,431.25728374979
3,District,MWI_3_06,Likoma,both,unaware_plhiv_num,Number PLHIV unaware,44.4081708142442,11.5594329557455,42.9591282507073,42.3863827610052,26.0487870801894,70.6595901030232
3,District,MWI_3_06,Likoma,female,unaware_plhiv_num,Number PLHIV unaware,9.76745475008384,2.55408377954362,9.44208813456484,9.31501766383129,5.74280933151633,15.3818150473789
3,District,MWI_3_06,Likoma,male,unaware_plhiv_num,Number PLHIV unaware,34.6407160641604,9.25717342651767,33.7518203280806,33.1051147092614,20.2397588387886,56.1430560238769
3,District,MWI_3_06,Likoma,both,aware_plhiv_num,Number PLHIV aware,928.707902766433,21.6984312378247,928.840220143434,927.123145900817,887.050228001604,970.792454220807
3,District,MWI_3_06,Likoma,female,aware_plhiv_num,Number PLHIV aware,564.387231493513,15.0055925259393,564.486642360074,563.426009840639,535.097437073343,593.105091142619
3,District,MWI_3_06,Likoma,male,aware_plhiv_num,Number PLHIV aware,364.32067127292,11.9524214241474,363.881601636089,363.697096125834,342.35602179244,388.199861914347
3,District,MWI_3_07,Kasungu,both,plhiv,PLHIV,20977.3182587471,1538.12519246186,20855.830254621,20890.1071952906,18115.355784926,24161.6088330705
